id,店舗名1,店舗名2,所在地
1,(株)大津屋,おおつや店,福井市西木田1丁目20番17号
2,(株)大津屋,いたがき店,福井市下馬2丁目105番地
3,(株)大津屋,米松店,福井市米松2丁目24番38号
4,(株)大津屋,フェニックス店,福井市松本4丁目12番12号
5,(株)大津屋,髙木中央店,福井市高木中央2丁目1724番地
6,(株)セブン―イレブン・ジャパン,福井開発店,福井市開発5-1124
7,(株)セブン―イレブン・ジャパン,福井三十八社店,福井市三十八社町10字4-1
8,(株)セブン―イレブン・ジャパン,福井城東1丁目店,福井市城東1-18-30
9,(株)セブン―イレブン・ジャパン,福井高木町店,福井市高木町14-11-1
10,(株)セブン―イレブン・ジャパン,福井花堂南店,福井市花堂南1-5-32
11,(株)セブン―イレブン・ジャパン,福井板垣2丁目店,福井市板垣2-314
12,(株)セブン―イレブン・ジャパン,福井文京3丁目店,福井市文京3-945
13,(株)セブン―イレブン・ジャパン,福井米松2丁目店,福井市米松2-1-28
14,(株)セブン―イレブン・ジャパン,福井西谷3丁目店,福井市西谷3-708
15,(株)セブン―イレブン・ジャパン,福井高柳町店,福井市高柳2-1201
16,(株)セブン―イレブン・ジャパン,福井栗森町店,福井市栗森2丁目3315番地
17,(株)セブン―イレブン・ジャパン,福井花堂東1丁目店,福井市花堂東1-806-1
18,(株)セブン―イレブン・ジャパン,福井板垣3丁目店,福井市板垣3-1603
19,(株)セブン―イレブン・ジャパン,福井大手３丁目店,福井市大手3丁目1201番1
20,(株)セブン―イレブン・ジャパン,福井灯明寺１丁目店,福井市灯明寺1丁目2801
21,(株)セブン―イレブン・ジャパン,福井運動公園店,福井市福2丁目1917番地
22,(株)セブン―イレブン・ジャパン,福井下河北町店,福井市下河北町2-8-5
23,(株)セブン―イレブン・ジャパン,福井つくし野店,福井市定正町1314番
24,(株)ファミリーマート,川尻店,福井市川尻町41-48-1
25,(株)ファミリーマート,福井県立武道館口店,福井市三ツ屋1丁目501番
26,(株)ファミリーマート,福井下馬店,福井市下馬3丁目1809
27,(株)ファミリーマート,福井片町店,福井市順化1丁目17-5
28,(株)ファミリーマート,新田塚店,福井市新田塚2-26-8317
29,(株)ファミリーマート,福井花堂店,福井市花堂中2-2004
30,(株)ファミリーマート,福井西谷店,福井市西谷2丁目601
31,(株)ファミリーマート,福井木田一丁目店,福井市木田1丁目3404番地1
32,(株)ファミリーマート,福井文京六丁目店,福井市文京6-18-8
33,(株)ファミリーマート,福井駅前店,福井市中央1丁目2-1
34,(株)ファミリーマート,福井県庁前店,福井市大手2丁目7-6
35,(株)ファミリーマート,福井高柳店,福井市高柳3丁目3209番地
36,(株)ファミリーマート,福井大和田店,福井市大和田1丁目302番地
37,(株)ファミリーマート,清水志津が丘店,福井市山内町第11号11番地15
38,(株)ファミリーマート,福井宝永三丁目店,福井市宝永3丁目10番1号山田ビル1階
39,(株)ファミリーマート,福井渕町店,福井市渕4丁目1701-1
40,(株)ファミリーマート,福井大宮二丁目店,福井市大宮2丁目2812番地4筆
41,(株)ファミリーマート,福井菅谷二丁目店,福井市菅谷2丁目11番13号
42,(株)ファミリーマート,福井日之出一丁目店,福井市日之出1丁目6番16号
43,(株)ファミリーマート,福井みゆき店,福井市城東4丁目2番1号
44,(株)ファミリーマート,福井江端店,福井市江端町22-27
45,(株)ファミリーマート,福井飯塚町店,福井市飯塚町13字ニ石田101番地
