id,施設等名,所在地,電話番号,台数
1,ガラガラ山キャンプ場,赤坂町66-84,89-2180,1 
2,福井競輪場（救護所）,明里町２－６５,34-3000,1 
3,福井競輪場（ｻｲｸﾙｼｱﾀｰ）,明里町２－６６,34-3000,1 
4,旧明里保育園（ひよこルーム）,明里町9－1,36-0064,1 
5,美山啓明小学校,朝谷町1-20,90-3003,1 
6,啓明児童クラブ（美山啓明幼稚園内）,朝谷町１-20,080-8691-9665,1 
7,愛宕坂茶道美術館,足羽1丁目8－5,33-3933,1 
8,足羽公民館,足羽2丁目12-31,35-0041,1 
9,足羽小学校,足羽3丁目1-1,35-3804,1 
10,あじさいじどうかん（足羽小学校内）,足羽3丁目1-1,33－0643,1 
11,自然史博物館,足羽上町１４７,35-2844,1 
12,あさがお児童館,浅水町107-12-1,39－1607,1 
13,麻生津公民館,浅水三ヶ町1-93,38-4383,1 
14,麻生津こども園,浅水二日町131-18,38-1356,1 
15,麻生津小学校,浅水二日町28-5,38-1001,1 
16,あさがおクラブ（麻生津小学校内）,浅水二日町28-5,090-2030-2298,1 
17,一乗谷あさくら水の駅,安波賀中島町1-1-1,41-2777,1 
18,北体育館,天池町5-65,56-3771,1 
19,天池河川公園,天池町地先,56-3208,1 
20,臨海消防署　国見分遣所,鮎川町108-6-1,88-2119,1 
21,国見小学校,鮎川町109-3-3,88-2116,1 
22,国見中学校,鮎川町109-9-2,88-2316,1 
23,国見公民館,鮎川町133-1-3,88-2004,1 
24,酒生公民館,荒木新保町37-9-5,41-2503,1 
25,ちゅうりっぷ児童館,荒木新保町45-7-1,41-4155,1 
26,本郷公民館,荒谷町19-55,83-0582,1 
27,西体育館,飯塚町10-8,33-1414,1 
28,わかばテニスコート,飯塚町10-8,33-1333,1 
29,東安居公民館,飯塚町6-18,35-9566,1 
30,松本保育園,幾久町7－17,22-0068,1 
31,水仙ドーム,居倉町43-25,89-2381,1 
32,上文殊小学校,生部町36-6,41-0514,1 
33,上文殊児童クラブ（上文殊小学校内）,生部町36-6,080-1956-1559,1 
34,棗小中学校,石新保町12-32,85-1099,1 
35,なつめ児童クラブ（棗中学校内）,石新保町12-32 ,080-2955-7076,1 
36,棗こども園,石新保町13－17,85-1130,1 
37,棗公民館,石橋町4-14,85-1495,1 
38,美山楽く楽く亭,市波町26-15,96-4911,1 
39,美山庭球場ウインク,市波町29-22,96-4300,1 
40,すぎのこ児童館,市波町25-3-4,96－4334,1 
41,下宇坂小学校,市波町55-5,96-4054,1 
42,足羽第一中学校,稲津町83-1,41-1311,1 
43,南消防署　麻生津分遣所,今市町12-7-1,39-0119,1 
44,足羽中学校,今市町5-10,38-1011,1 
45,森田中学校,上野本町1-1077,56-0130,1 
