event_mei,naiyou,bikou,ctg_mei,terms_date,terme_date,kterms_date,toiawase,toiawasetel,kaisaichi,suri,area,city,address2,renrakusaki,remail,traffic,lat,lng,zoom
第８回　ふくい「道の駅」ぐるっとスタンプラリー,"第８回　ふくい「道の駅」ぐるっとスタンプラリーを、5月20日より開催します。
　福井県内の「道の駅」を３駅以上まわった方を対象に、抽選で豪華な賞品が当たります。「道の駅」で配布するスタンプラリー台紙により参加できますので、福井県内の「道の駅」を巡ってスタンプを集め、ぜひ応募してください。",◆実施期間◆令和５年５月２０日（土）～令和６年１月３１日（火）　詳しくは、県内の道の駅で配布しているスタンプラリー台紙を参照してください,観光・祭り,2023/5/20,2024/1/31,2023/5/16,福井県「道の駅」連絡会事務局（道路保全課内）,0776-20-0514,福井県内「道の駅」,https://www.fuku-e.com/spot/map_1_2__26_______.html,福井・坂井,福井市,他　県内の道の駅,,,,,,
白川文字学の室展示「夏を楽しむ！～夏にまつわる漢字～」,夏休みを迎える時期にあわせ、「夏」にまつわる漢字について、白川文字学による成り立ちをポスター展示で紹介します。,■期間：７月１４日（金）～１０月２５日（水）,その他,2023/7/14,2023/10/25,2023/7/1,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
連携特集「ひとりで悩まないで～職場のお悩み解決お助け本～」,１０月の「個別労働紛争処理制度」周知月間にあわせ、県労働委員会と連携し、労働法に関する入門書や労働環境に関する本、職場のハラスメントに関する本など、職場の悩みやトラブルの解決に役立つような本を特集します。,■期間：９月２９日（金）～１０月２５日（水）、　【参考】「労働施策に関する合同パネル展」 ◇期間：１０月４日（水）～１０月９日（月・祝）、 ◇場所：県立図書館　エントランスホール、　◇主催：県労働委員会事務局、県産業労働部労働政策課、福井市商工労働部しごと支援課,その他,2023/9/29,2023/10/25,2023/9/29,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
無料健康相談会「まちの保健室ｉｎ県立図書館」 10/11,こころやからだに関して気になることや悩みに看護職がアドバイスします。,■日時：１０月１１日（水） １３：００～１６：００、　■場所：県立図書館　エントランスホール、　■対象：県民一般［当日受付、参加無料］、　■主催：公益社団法人福井県看護協会・福井県立図書館,その他,2023/10/11,2023/10/11,2023/8/9,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
働く女性のためのセルフマネジメント術～キャリアアップ支援講座～,しなやかに生きるために自分を信じる力「自己効力感」を高めるコツを知って、目指す自分に向かう行動力を高めるための講座です■日時：令和5年10月12・19日(木)19時～20時半■会場：アオッサ6階研修室601BC■対象：49才までの働く女性で2回とも参加できる方(福井市内在住または在勤の方）■定員：30名（抽選）■参加費：無料,■講師：森口 美和子 氏(社会保険労務士・キャリアコンサルタント)■申込締切：10月1日(日)必着■https://www.city.fukui.lg.jp/kurasi/jinken/event/work101219.html,講座・セミナー,2023/10/12,2023/10/19,2023/8/31,福井市男女共同参画・子ども家庭センター,0776‐20‐1537,アオッサ,http://www.aossa.jp/,福井・坂井,福井市,手寄１－４－１,0776‐20‐1537,,ＪＲ北陸本線・えちぜん鉄道「福井駅」下車徒歩１分,,,
職場のお悩み・解決！休日労働相談会　１０月１５日（事前 予約制）,●日時　令和５年１０月１５日（日）　９：００～１２：００（予約締切　７月２８日（金）１７：００）●場所　アオッサ６階研修室　●内容　職場でのパワハラや解雇・賃金不払いなどのトラブルの相談に、弁護士や労働組合役員、会社役員などの労働問題の専門家が無料でお応えします。また、あっせんによる解決の手続もお受けします。,"※秘密厳守 
※事前予約制 
※対象者 県内の労働者および使用者の方 （ご家族、ご友人の方からの相談もお受けします。）",その他,2023/10/15,2023/10/15,2023/9/29,福井県労働委員会事務局,0776－20－0597,アオッサ６階　研修室,,福井・坂井,福井市,手寄１-４-１,,,,,,
【申込不要】せっちゃんの楽しい紙しばい会,紙しばいの達人・せっちゃんによる、ドキドキ！ワクワク！大人も子どもも楽しめる紙しばい会です♪どんなお話が聞けるかは、始まってからのお楽しみ！どなたでもお気軽にご参加ください。紙しばいと手遊びを楽しみましょう！,●日時：2023年10月15日(日)　15:00～15:30 ●場所：こども歴史文化館 2階　交流ひろば　●演じ手：津田節江氏(これきワイワイズ・これきひょうしぎの会)　 ●対象：どなたでも　●参加費：無料　●申込み：不要 会場で先着順に受け付けます。,こども,2023/10/15,2023/10/15,2023/10/2,福井県立こども歴史文化館,0776-21-1500,福井県立こども歴史文化館,https://info.pref.fukui.lg.jp/koreki/,福井・坂井,福井市,城東1丁目18-21,0776-21-1500,,,,,
無料法律相談会　10/19,生活上の様々な悩みごとについて、弁護士による無料の法律相談をご利用いただけます。（ただし、法律相談には一定の資力基準等があります。）,■日時：令和５年１０月１９日（木）１４：００～１６：００、　■場所：県立図書館　研修室、　■対象：県民一般［要申込（事前電話申込制）・参加無料］、　■主催：福井弁護士会・法テラス福井・福井県立図書館、　■申込・問合せ先：法テラス福井〔電話：０５０－３３８３－５４７５（受付時間：９：００～１７:００）〕,その他,2023/10/19,2023/10/19,2023/9/21,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
パパといっしょに♪お片づけ大作戦！,◆日時 10/22(日)10:00～11:45　◆会場 アオッサ6階 レクリエーションルーム　◆参加費 無料　◆対象・定員 6歳～小学6年生までの子とその男性保護者(福井市内在住または在勤の方) 15組(抽選)　◆内容 クイズやカードを使って、お片づけについて楽しく学びます。◆講師 村田 理美 氏(親・子の片づけマスターインストラクター)　◆締切 10/10(火)必着,,講座・セミナー,2023/10/22,2023/10/22,2023/9/4,福井市男女共同参画・子ども家庭センター,0776-20-1537,アオッサ,http://www.aossa.jp,福井・坂井,福井市,手寄1-4-1,0776-20-1537,,JR北陸本線・えちぜん鉄道「福井駅」下車　徒歩1分,,,
読書週間イベント  映画「おしょりん」ライブラリー・コンサート,小説『おしょりん』（藤岡陽子／著 ポプラ社）を原作とした映画「おしょりん」（配給：KADOKAWA、120分）の公開にちなみ、全曲オリジナルの映画音楽を制作した県内演奏家の方々による演奏と制作にまつわるトークを行います。,■日時：10月29日(日) 13:30～14:30、■場所：県立図書館 多目的ホール、■演奏：映画「おしょりん」の音楽を制作した県内演奏家の皆さん 【代表者】斉藤チエミ氏（映画「おしょりん」音楽プロデューサー）、【構成】トランペット、フルート、チェロ、コントラバス、ピアノ、ドラム(予定)、 ■対象：一般 100名［要申込、10月6日(金)9時受付開始］、■その他：映画関連資料展示、予告編動画上映あり。開始後の入場はできませんのでご了承ください。 ■後援：福井県読書推進運動協議会　●【関連企画】(1)本のミニ特集「おしょりん」〔10月20日(金)～11月29日(水)、映画のチラシ掲示、予告編動画上映あり〕、(2)図書館カフェ「おしょりんランチ」〔10月27日(金)～11月9日(木)(休館日を除く)、協力：うるしの里いきいき協議会〕,文化・芸術,2023/10/29,2023/10/29,2023/9/29,福井県立図書館,0776-33-8860,福井県立図書館,,福井・坂井,福井市,下馬町51-11,0776-33-8860,,福井駅東口のりば　フレンドリーバス（無料）　毎時00、30分発,,,
