id,分類,施設名,所在地,電話番号,緯度,経度
1,救急病院,福井赤十字病院,福井市月見2丁目4番1号,0776-36-3630,36.04752,136.2129
2,救急病院,福井県立病院,福井市四ツ井2丁目8番1号,0776-54-5151,36.06934,136.2379
3,救急病院,福井県済生会病院,福井市和田中町舟橋7番地1,0776-23-1111,36.0473,136.2522
4,救急病院,医療法人 慈豊会田中病院,福井市大手2丁目3番1号,0776-22-2119,36.06426,136.224
5,救急病院,福井総合病院,福井市江上町第58号16番地1 ,0776-59-1300,36.13253,136.1651
6,救急病院,嶋田病院,福井市西方1丁目2番11号,0776-21-8008,36.05379,136.2346
7,救急病院,福井循環器病院,福井市新保2丁目228番地,0776-54-5660,36.07813,136.2501
8,救急病院,福井厚生病院,福井市下六条町201番地,0776-41-3377,36.03709,136.233
9,救急病院,財団医療法人 藤田記念病院,福井市宝永4丁目15番7号,0776-21-1277,36.0696,136.2201
10,救急病院,医療法人 福井愛育病院,福井市新保2丁目301番地,0776-54-5757,36.07831,136.2511
11,救急病院,医療法人 初生会福井中央クリニック,福井市松本4丁目5番10号,0776-24-2410,36.07181,136.2201
12,救急病院,医療法人 大滝病院,福井市日光1丁目2番1号,0776-23-3215,36.07134,136.2033
13,救急病院,つくし野病院,福井市川合鷲塚町49字6番地1,0776-55-1800,36.11374,136.2128
14,救急病院,光陽生協病院,福井市光陽3丁目10番24号,0776-24-5009,36.06551,136.1953
15,救急診療所,打波外科胃腸科婦人科,福井市文京7丁目10番2号,0776-26-7171,36.07607,136.1948
16,救急診療所,医療法人 雄久会奥村外科胃腸科,福井市木田1丁目3415番地,0776-33-1500,36.04791,136.2266
17,救急診療所,医療法人 清風会吉田医院,福井市順化1丁目8番1号,0776-22-1233,36.0639,136.2157
18,救急診療所,大橋整形外科医院,福井市二の宮3丁目38番20号,0776-25-0099,36.08761,136.2171
19,救急診療所,医療法人 宮﨑整形外科医院,福井市加茂河原3丁目8番6号,0776-33-1111,36.06262,136.1922
20,救急診療所,相模整形外科内科医院,福井市稲多新町1の14番地,0776-56-1113,36.10283,136.2241
21,救急診療所,たなか整形外科・眼科,福井市種池1丁目101,0776-35-9299,36.03642,136.1929
22,救急診療所,堀の宮整形外科,福井市堀ノ宮1丁目123番地,0776-30-1000,36.08028,136.1971
23,救急診療所,山内整形外科,福井市大宮4丁目13番18号,0776-26-1160,36.08214,136.2078
24,救急診療所,佐藤整形形成外科,福井市桃園1丁目1番2号,0776-35-5151,36.06221,136.2032
25,救急診療所,小林クリニック,福井市文京2丁目1番15号,0776-22-2666,36.07519,136.2173
26,救急診療所,安土整形外科医院,福井市中央2丁目7番19号,0776-25-3545,36.05911,136.2181
